,cal_burned,steps,distance,floors,mins_sedentary,mins_light_activity,mins_fair_activity,mins_very_active,activity_cals,mins_total_activity
2018-05-27,3407.0,5347.0,2.52,2.0,825.0,209.0,21.0,6.0,1260.0,236.0
2018-05-28,3213.0,3875.0,1.83,2.0,668.0,164.0,0.0,0.0,922.0,164.0
2018-05-29,3466.0,6448.0,3.04,0.0,899.0,254.0,9.0,0.0,1427.0,263.0
2018-05-30,3324.0,5519.0,2.6,1.0,1201.0,217.0,19.0,3.0,1264.0,239.0
2018-05-31,3420.0,5879.0,2.77,3.0,735.0,230.0,5.0,6.0,1349.0,241.0
2018-06-01,3513.0,6916.0,3.26,0.0,690.0,279.0,10.0,2.0,1527.0,291.0
2018-06-02,2742.0,2946.0,1.39,3.0,717.0,171.0,0.0,0.0,752.0,171.0
2018-06-03,3765.0,6815.0,3.21,2.0,545.0,201.0,42.0,29.0,1834.0,272.0
2018-06-04,3585.0,6162.0,2.91,6.0,1171.0,225.0,36.0,8.0,1530.0,269.0
2018-06-05,3189.0,4486.0,2.12,4.0,823.0,177.0,10.0,0.0,1022.0,187.0
2018-06-06,2145.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
2018-06-07,2146.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
2018-06-08,2465.0,1929.0,0.91,1.0,1361.0,79.0,0.0,0.0,389.0,79.0
2018-06-09,2859.0,3130.0,1.48,7.0,835.0,127.0,24.0,1.0,780.0,152.0
2018-06-10,3432.0,7029.0,3.32,7.0,728.0,230.0,35.0,9.0,1549.0,274.0
2018-06-11,2146.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
2018-06-12,3352.0,4535.0,2.14,1.0,1224.0,186.0,20.0,10.0,1241.0,216.0
2018-06-13,3335.0,6344.0,2.99,4.0,1186.0,241.0,5.0,8.0,1333.0,254.0
2018-06-14,3533.0,8316.0,3.92,10.0,591.0,287.0,22.0,1.0,1684.0,310.0
2018-06-15,3422.0,7249.0,3.42,14.0,693.0,275.0,11.0,8.0,1586.0,294.0
2018-06-16,3313.0,7806.0,3.68,15.0,749.0,237.0,18.0,7.0,1422.0,262.0
2018-06-17,2940.0,3544.0,1.67,6.0,862.0,132.0,9.0,1.0,791.0,142.0
2018-06-18,3385.0,6189.0,2.92,1.0,744.0,224.0,5.0,6.0,1298.0,235.0
2018-06-19,3560.0,6055.0,2.86,2.0,686.0,246.0,15.0,4.0,1500.0,265.0
2018-06-20,3256.0,5665.0,2.67,2.0,722.0,219.0,0.0,0.0,1211.0,219.0
2018-06-21,3430.0,6480.0,3.06,4.0,654.0,235.0,18.0,3.0,1388.0,256.0
2018-06-22,3290.0,5805.0,2.74,3.0,1179.0,235.0,2.0,9.0,1278.0,246.0
2018-06-23,3134.0,2996.0,1.41,2.0,801.0,130.0,10.0,18.0,1079.0,158.0
2018-06-24,3355.0,5209.0,2.46,2.0,1121.0,243.0,0.0,10.0,1450.0,253.0
2018-06-25,3127.0,3810.0,1.8,1.0,768.0,183.0,8.0,0.0,1032.0,191.0
2018-06-26,2144.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
2018-06-27,2145.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
2018-06-28,2145.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
2018-06-29,2180.0,0.0,0.0,0.0,1437.0,3.0,0.0,0.0,39.0,3.0
2018-06-30,2145.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,3090.0,4714.0,2.22,4.0,1005.0,232.0,0.0,0.0,1125.0,232.0
2018-07-02,2204.0,172.0,0.08,0.0,1024.0,12.0,0.0,0.0,67.0,12.0
2018-07-03,2144.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0
